id,name,category
S097,Glutamin 1g Kapseln,5
S098,Mucosa Compositum Tabletten,5
S099,Basenpulver (z. B. Dr. Jacobs),5
S100,Vermox 3 Tage, nach 14 Tagen wiederholen,5
CAT6,CATEGORY: Leberdetox nach Paracelsus Kl.,6
S101,Okoubaka Tropfen,6
S102,Bittersalz (kein Glaubersalz),6
S103,Bile Acid Factors,6
S104,Mariendistel / Carduus Marianus / Taraxacum,6
S105,Bitterliebe Kapseln,6
CAT7,CATEGORY: Schlafen,7
S106,Baldrian / Hopfen Kapseln,7
S107,Melatonin,7
CAT8,CATEGORY: Gelenke / Bindegewebe,8
S108,Glucosamin 10g,8
S109,Chondroitin 10g,8
S110,Silizium G7 flüssig,8
S111,Kollagenpulver,8
S112,Isagenix SuperKollagen,8
CAT9,CATEGORY: Infektionsbehandlung,9
S113,Disulfiram nach Schema,9
S114,Quentakehl Kapseln,9
S115,Lysin 1g Kapseln,9
S116,Weihrauch Kapseln (Boswelliasäure),9
S117,Curcuma Gelkapseln,9
S118,CurcumaXan Spray Arnika,9
S119,Helicobacter-Therapie (Pylopass Forte),9
S120,Symbiolact comp. nüchtern,9
S121,Artemisia annua Kapseln 600mg,9
S122,Artemisia annua Pulver,9
S123,Amantadin 100mg (spätestens 15 Uhr),9
S124,Hydroxychloroquin (HCQ) 200mg,9
S125,Ivermectin 0,4–0,5mg/kg/Tag,9
S126,Schwarzkümmelöl Kapseln,9
S127,Astragalus Kapseln,9
S128,Andrographis Kapseln 400mg,9
S129,Andrographis Kapseln 500mg,9
S130,AHCC 500mg Kapseln,9
CAT10,CATEGORY: Hormone,10
S131,Östradiol 0,03%,10
S132,Östradiol 0,06%,10
S133,Progesteroncreme 3%,10
S134,Progesteroncreme 10%,10
S135,DHEA 2% Creme,10
S136,Estradiol 0,04% / Estriol 1,6% / Testosteron 0,2%,10
S137,DHEA 5% Gel,10
S138,Testosteron 10% Gel,10
S139,Testosteron Gel 8mg (Frauen),10
S140,Testosteron Gel 50mg,10
S141,Testosteron Gel 100mg,10
S142,Testosteron Gel 150mg,10
S143,Progesteron Kapseln 25mg (Männer),10
S144,DHEA Kapseln 5mg,10
S145,DHEA Kapseln 10mg,10
S146,DHEA Kapseln 25mg,10
S147,DHEA Kapseln 50mg,10
S148,Pregnenolon 10mg,10
S149,Pregnenolon 30mg,10
S150,Pregnenolon 50mg,10
S151,Pregnenolon 100mg,10
S152,Phytocortal 100ml,10
S153,Ceres Ribes nigrum Fol. Urtinktur,10
S154,Lion's Mane Mushroom Extrakt 500mg,10
S155,LDN 1mg,10
S156,LDN 1,5mg,10
S157,LDN 4mg,10
S158,LDN 4,5mg,10
CAT11,CATEGORY: Biologische Therapie,11
S159,Ceres Solidago comp.,11
CAT12,CATEGORY: Sonstiges,12
S160,Pro Human Probiotikum,12
S161,Thymusextrakt,12
S162,Nierenextrakt,12
S163,Leberextrakt,12
S164,Adrenal Organzellextrakt,12
S165,Frischpflanzensaft,12
S166,Löwenzahn / Sellerie / Bärlauch,12
S167,Kaktusfeige (Hautfeuchtigkeit),12
S168,Kiefernadeltee 2 Tassen täglich,12
S169,Weidenröschen (Fireweed),12
S170,SuperPatches einzeln,12
S171,SuperPatches Packung 28 Stück,12
